Tag,Alloy name,Citation,Citation,Citation,Citation,Citation,Citation,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Notes,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Density,Lattice param,RT lattice misfit,RT lattice misfit,RT lattice misfit,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,SFE,SFE,SFE,SFE,SFE,SFE,SFE,SFE
SRR99_S92_L1_2_3,SRR99,Schmidt and Feller-Kniepmeier 92,10.1007/BF02675552,,,,,0,,,,,,,,,,,0,SRR99_S92_0_3,γ',L1_2,,,,,,,,,,,,,,,0.7598752526,0.02775507659,0.02685975154,0,0,0.1061456027,0.01282489878,0.02806472155,0.03847469633,0,0,0,0.711,0.031,0.03,0,0,0.154,0.012,0.026,0.036,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasair 100_N85_0,Nasair 100,"Nathal and Ebert, 1985",10.1007/BF02814341,,,,,1,γ,Nasair 100_N85_A1,0.32,,,γ',Nasair 100_N85_L1_2,0.68,,250,1,,,,sc,Avg comp over x2 bars,1302,4,0,0,0,0,982,5,871,20,0,0,0.6895,0.0917,0,0,0,0.0582,0.0278,0.1072,0.0165,0.0091,0,0,0.6574525385,0.1043737856,0,0,0,0.08604874377,0.0265078761,0.1012069255,0.01573309193,0.008677038579,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,925,840,875,,13.5,87.1,,,1000,615,650,,26,82,,,,,,,,,,,,,,,,,,,925,207,,,289,1039,,,,0.42,925,245,,,,512,,,,1.32,925,275,,,,247,,,,4.59,925,310,,,31,137,,,,7.135,1000,165,,,,372,,,,0.86,1000,185,,,,232,,,,1.94,1000,207,,,16,122,,,,5.42,1000,240,,,,38,,,,26.07,1000,275,,,,20,,,,63.17,,,,,,,,,,,,,,,,,,,,,,,,
Nasair 100_N85_A1,Nasair 100,"Nathal and Ebert, 1985",10.1007/BF02814341,,,,,0,,,,,,,,,,,0,Nasair 100_N85_0,γ,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasair 100_N85_L1_2,Nasair 100,"Nathal and Ebert, 1985",10.1007/BF02814341,,,,,0,,,,,,,,,,,0,Nasair 100_N85_0,γ',L1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni_C74_A1,Ni,Clement et al 74,10.1080/14786439808206589,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,140,,,,,,
Ni20Cr_C74_A1,Ni20Cr,Clement et al 74,10.1080/14786439808206589,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0.7701651689,0.2298348311,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,74,,,,,,
Ni25Cr_C74_A1,Ni25Cr,Clement et al 74,10.1080/14786439808206589,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.7153602668,0.2846397332,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,77,,,,,,
Ni39Cr_C74_A1,Ni39Cr,Clement et al 74,10.1080/14786439808206589,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.39,0,0,0,0,0,0,0,0,0,0,0.5671572069,0.4328427931,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,,,,,,
Ni41Cr_C74_A1,Ni41Cr,Clement et al 74,10.1080/14786439808206589,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.592,0.408,0,0,0,0,0,0,0,0,0,0,0.5486429541,0.4513570459,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,,,,,,
A_K64_A1,A,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0.6615585922,0.3384414078,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,71,,,,,,
C_K64_A1,C,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.5,0,0,0,0,0,0,0,0,0,0.3583540063,0.106940999,0.5347049948,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33,,,,,,
D_K64_A1,D,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0.5568567189,0.2215716405,0.2215716405,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,71,,,,,,
E_K64_A1,E,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0,0.5568567189,0.3323574608,0.1107858203,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,43,,,,,,
F_K64_A1,F,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0.6615585922,0.2256276052,0.1128138026,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,52,,,,,,
G_K64_A1,G,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.3,0,0,0,0,0,0,0,0,0,0.4558526905,0.2176589238,0.3264883857,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,,,,,,
H_K64_A1,H,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0.3583540063,0,0.6416459937,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,32,,,,,,
I_K64_A1,I,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.55,0,0,0,0,0,0,0,0,0,0.4066766851,0,0.5933233149,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,47,,,,,,
J_K64_A1,J,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.65,0,0,0,0,0,0,0,0,0,0.310862634,0,0.689137366,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,
K_K64_A1,K,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,fcc composition estimated using tielines,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.27,0.18,0,0,0,0,0,0,0,0,0,0.5059048269,0.2964571038,0.1976380692,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,,
L_K64_A1,L,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,fcc composition estimated using tielines,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.25,0.27,0,0,0,0,0,0,0,0,0,0.4360784476,0.2711161309,0.2928054214,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,,,,,,
M_K64_A1,M,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.7,0,0,0,0,0,0,0,0,0,0.2641812994,0,0.7358187006,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,9,,,,,,
N_K64_A1,N,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0.3583540063,0.2138819979,0.4277639958,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,41,,,,,,
P_K64_A1,P,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,fcc composition estimated using tielines,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.25,0.37,0,0,0,0,0,0,0,0,0,0.3392589081,0.2664278596,0.3943132323,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,,,,,,
S_K64_A1,S,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,fcc composition estimated using tielines,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.25,0.43,0,0,0,0,0,0,0,0,0,0.2827579596,0.2636919266,0.4535501138,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,11,,,,,,
T_K64_A1,T,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.5,0,0,0,0,0,0,0,0,0,0.2641812994,0.2102339145,0.5255847861,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,
U_K64_A1,U,Koester et al 64,10.1080/14786436408225417,,,,,0,,,,,,,,,,,0,,γ,A1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.6,0,0,0,0,0,0,0,0,0,0.2641812994,0.1051169572,0.6307017434,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,,,,,,
Alloy 1_L72_0,Alloy 1,Loomis et al 72,10.1007/bf02647677,,,,,1,γ,Alloy 1_L72_A1,0.9707134562,0.97,,γ',Alloy 1_L72_L1_2,0.02928654383,0.03,,0,,,,exp,,1232,12,0,0,0,0,760,1000,0,0,0,0,0.8225717407,0.1336152499,0,0,0,0.04381300943,0,0,0,0,0,0,0.7834,0.1519,0,0,0,0.0647,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1632101753,0.00571,0.1630770961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 1_L72_A1,Alloy 1,Loomis et al 72,10.1007/bf02647677,,,,,0,,,,,,,,,,,0,Alloy 1_L72_0,γ,A1,,,,,,,,,,,,,,,0.8226291546,0.1356891223,0,0,0,0.04168172309,0,0,0,0,0,0,0.7840309278,0.154371134,0,0,0,0.06159793814,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 1_L72_L1_2,Alloy 1,Loomis et al 72,10.1007/bf02647677,,,,,0,,,,,,,,,,,0,Alloy 1_L72_0,γ',L1_2,,,,,,,,,,,,,,,0.8206687344,0.06487597276,0,0,0,0.1144552928,0,0,0,0,0,0,0.763,0.072,0,0,0,0.165,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 2_L72_0,Alloy 2,Loomis et al 72,10.1007/bf02647677,,,,,1,γ,Alloy 2_L72_A1,0.9018979011,0.9,,γ',Alloy 2_L72_L1_2,0.09810209893,0.1,,0,,,,exp,,1232,12,0,0,0,0,760,1000,0,0,0,0,0.8123836703,0.1314357012,0,0,0,0.04358715986,0,0,0,0.0125934686,0,0,0.7741,0.1495,0,0,0,0.0644,0,0,0,0.012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1376559164,0.005,0.1375612358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 2_L72_A1,Alloy 2,Loomis et al 72,10.1007/bf02647677,,,,,0,,,,,,,,,,,0,Alloy 2_L72_0,γ,A1,,,,,,,,,,,,,,,0.810569413,0.1415407179,0,0,0,0.03602106633,0,0,0,0.01186880277,0,0,0.774,0.1613333333,0,0,0,0.05333333333,0,0,0,0.01133333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 2_L72_L1_2,Alloy 2,Loomis et al 72,10.1007/bf02647677,,,,,0,,,,,,,,,,,0,Alloy 2_L72_0,γ',L1_2,,,,,,,,,,,,,,,0.8290629756,0.03853561639,0,0,0,0.1131457518,0,0,0,0.01925565621,0,0,0.775,0.043,0,0,0,0.164,0,0,0,0.018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 3_L72_0,Alloy 3,Loomis et al 72,10.1007/bf02647677,,,,,1,γ,Alloy 3_L72_A1,0.8628646412,0.86,,γ',Alloy 3_L72_L1_2,0.1371353588,0.14,,0,,,,exp,,1232,12,0,0,0,0,760,1000,0,0,0,0,0.7950863791,0.1283108253,0,0,0,0.0439768734,0,0,0,0.03262592214,0,0,0.7579,0.146,0,0,0,0.065,0,0,0,0.0311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08691020214,0.00304,0.08687245162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 3_L72_A1,Alloy 3,Loomis et al 72,10.1007/bf02647677,,,,,0,,,,,,,,,,,0,Alloy 3_L72_0,γ,A1,,,,,,,,,,,,,,,0.7924297352,0.1425718415,0,0,0,0.03263400652,0,0,0,0.03236441675,0,0,0.7578837209,0.1627674419,0,0,0,0.04839534884,0,0,0,0.03095348837,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloy 3_L72_L1_2,Alloy 3,Loomis et al 72,10.1007/bf02647677,,,,,0,,,,,,,,,,,0,Alloy 3_L72_0,γ',L1_2,,,,,,,,,,,,,,,0.8118021564,0.03857957923,0,0,0,0.1153469333,0,0,0,0.03427133114,0,0,0.758,0.043,0,0,0,0.167,0,0,0,0.032,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
